,age,ageCond,birthday,buG1fAccTime,buG1fOrd,buG2fAccTime,buG2fOrd,buG3fAccTime,buG3fOrd,buG4fAccTime,buG4fOrd,buG6fAccTime,buG6fOrd,buG8fAccTime,buG8fOrd,buS1fAccTime,buS1fOrd,buS1fTime,bu_10_8fTime,bu_1fGTime,bu_2fGTime,bu_3fGTime,bu_4_2fTime,bu_6_4fTime,bu_8_6fTime,budam,buga1,buga2,buga3,chaksun1,chaksun2,chaksun3,chaksun4,chaksun5,chulNo,diffUnit,hrName,hrNo,hrTool,ilsu,jeG1fTime,jeG3fTime,jeS1fTime,je_1cTime,je_2cTime,je_3cTime,je_4cTime,jkName,jkNo,meet,name,ord,ordBigo,owName,owNo,plcOdds,prizeCond,rank,rankRise,rating,rcDate,rcDay,rcDist,rcName,rcNo,rcTime,seG1fAccTime,seG3fAccTime,seS1fAccTime,se_1cAccTime,se_2cAccTime,se_3cAccTime,se_4cAccTime,sex,sjG1fOrd,sjG3fOrd,sjS1fOrd,sj_1cOrd,sj_2cOrd,sj_3cOrd,sj_4cOrd,trName,trNo,track,wgBudam,wgBudamBigo,wgHr,wgJk,winOdds,weather
0,4,연령오픈,20190227,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,별정A,0,0,0,13750000,5500000,3500000,1250000,1000000,9,-,애니싱스,0044639,"계란형큰,망사눈",66,0,0,0,0,0,0,0,전진구,080580,부경,한국,0,-,강영종,065003,0.0,R0~0,국6등급,0,0,20230903,일요일,1200,일반,1,0.0,0,0,0,0,0,0,0,암,0,0,0,0,0,0,0,박재호,070226, (0%),54.0,-,0(),0,0.0,
1,2,연령오픈,20210310,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,별정A,0,0,0,13750000,5500000,3500000,1250000,1000000,6,-,비케이워리어,1412332,"Triabit ,망사",66,0,0,0,0,0,0,0,박재이,080546,부경,한국,0,-,함승원,109142,0.0,R0~0,국6등급,0,0,20230903,일요일,1200,일반,1,0.0,0,0,0,0,0,0,0,암,0,0,0,0,0,0,0,강형곤,070134, (0%),52.5,-,0(),0,0.0,
2,2,연령오픈,20210420,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,별정A,0,0,0,13750000,5500000,3500000,1250000,1000000,7,-,퍼펙트액션,0047445,"계란형큰,망사,승인편자,혀끈+",66,0,0,0,0,0,0,0,채상현,080532,부경,한국,0,-,현길림,105031,0.0,R0~0,국6등급,0,0,20230903,일요일,1200,일반,1,0.0,0,0,0,0,0,0,0,암,0,0,0,0,0,0,0,강은석,070223, (0%),52.5,-,0(),0,0.0,
3,2,연령오픈,20210123,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,별정A,0,0,0,13750000,5500000,3500000,1250000,1000000,8,-,퓨어댄스,0047381,"JR러깅,망사",66,0,0,0,0,0,0,0,모준호,080600,부경,한국,0,-,이시돌협회,103012,0.0,R0~0,국6등급,0,0,20230903,일요일,1200,일반,1,0.0,0,0,0,0,0,0,0,암,0,0,0,0,0,0,0,울즐리,070156, (0%),52.5,-,0(),0,0.0,
4,2,연령오픈,20210319,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,별정A,0,0,0,13750000,5500000,3500000,1250000,1000000,12,-,투투머니건,0047310,"Triabit ,망사+",66,0,0,0,0,0,0,0,김동영,080401,부경,한국,0,-,강용익,105137,0.0,R0~0,국6등급,0,0,20230903,일요일,1200,일반,1,0.0,0,0,0,0,0,0,0,암,0,0,0,0,0,0,0,조용배,070137, (0%),52.5,-,0(),0,0.0,
5,2,연령오픈,20210418,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,별정A,0,0,0,13750000,5500000,3500000,1250000,1000000,5,-,코이누르,0047177,"Triabit ,망사",66,0,0,0,0,0,0,0,최시대,080423,부경,한국,0,-,이장현,117004,0.0,R0~0,국6등급,0,0,20230903,일요일,1200,일반,1,0.0,0,0,0,0,0,0,0,암,0,0,0,0,0,0,0,백광열,070130, (0%),52.5,-,0(),0,0.0,
6,2,연령오픈,20210323,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,별정A,0,0,0,13750000,5500000,3500000,1250000,1000000,10,-,마이멜로디,0047005,"계란형큰+,망사",66,0,0,0,0,0,0,0,김혜선,080456,부경,한국,0,-,송승규,112274,0.0,R0~0,국6등급,0,0,20230903,일요일,1200,일반,1,0.0,0,0,0,0,0,0,0,암,0,0,0,0,0,0,0,임성실,070251, (0%),52.5,-,0(),0,0.0,
7,2,연령오픈,20210219,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,별정A,0,0,0,13750000,5500000,3500000,1250000,1000000,4,-,비케이제나,0046766,"JR러깅,망사",66,0,0,0,0,0,0,0,윤형석,080607,부경,한국,0,-,함승원,109142,0.0,R0~0,국6등급,0,0,20230903,일요일,1200,일반,1,0.0,0,0,0,0,0,0,0,암,0,0,0,0,0,0,0,강형곤,070134, (0%),51.5,-,0(),-1,0.0,
8,3,연령오픈,20200501,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,별정A,0,0,0,13750000,5500000,3500000,1250000,1000000,3,-,투데이퀸,0046543,"Triabit ,망사",66,0,0,0,0,0,0,0,이효식,080564,부경,한국,0,-,이정국,106106,0.0,R0~0,국6등급,0,0,20230903,일요일,1200,일반,1,0.0,0,0,0,0,0,0,0,암,0,0,0,0,0,0,0,문현철,070249, (0%),54.0,-,0(),0,0.0,
9,3,연령오픈,20200227,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,별정A,0,0,0,13750000,5500000,3500000,1250000,1000000,2,-,위크스페셜,0045944,"계란형큰,망사",66,0,0,0,0,0,0,0,정우주,080588,부경,한국,0,-,신승한,111084,0.0,R0~0,국6등급,0,0,20230903,일요일,1200,일반,1,0.0,0,0,0,0,0,0,0,암,0,0,0,0,0,0,0,강은석,070223, (0%),54.0,-,0(),0,0.0,
10,3,연령오픈,20200308,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,별정A,0,0,0,13750000,5500000,3500000,1250000,1000000,11,-,최강위크,0045943,"망사,반가지큰",66,0,0,0,0,0,0,0,송경윤,080421,부경,한국,0,-,고경현,065008,0.0,R0~0,국6등급,0,0,20230903,일요일,1200,일반,1,0.0,0,0,0,0,0,0,0,암,0,0,0,0,0,0,0,구영준,070176, (0%),54.0,-,0(),0,0.0,
